mixture,source1,source2,speaker1,speaker2,snr
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02685_id00817_0.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02685_id00817_0.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02685_id00817_0.wav,id02685,id00817,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id00866_id03347_1.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id00866_id03347_1.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id00866_id03347_1.wav,id00866,id03347,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01989_id00081_2.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01989_id00081_2.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01989_id00081_2.wav,id01989,id00081,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02286_id02576_3.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02286_id02576_3.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02286_id02576_3.wav,id02286,id02576,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02725_id03041_4.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02725_id03041_4.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02725_id03041_4.wav,id02725,id03041,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02548_id01333_5.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02548_id01333_5.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02548_id01333_5.wav,id02548,id01333,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01541_id01333_6.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01541_id01333_6.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01541_id01333_6.wav,id01541,id01333,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01541_id00812_7.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01541_id00812_7.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01541_id00812_7.wav,id01541,id00812,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01567_id02576_8.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01567_id02576_8.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01567_id02576_8.wav,id01567,id02576,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02445_id00817_9.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02445_id00817_9.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02445_id00817_9.wav,id02445,id00817,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02685_id02577_10.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02685_id02577_10.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02685_id02577_10.wav,id02685,id02577,"(-5, 5)"
